#,Kana,Kanji,Type,Definition/s
1621,こっち,,n,"(1) this person, (2) this direction, (3) this side"
1622,こちらこそ,,exp,it is I who should say so
1623,こっか,国家,n,"state, country, nation"
1624,こっかい,国会,n,"National Diet, parliament, congress"
1625,こづかい,小遣い,n,"personal expenses, pocket money, spending money, incidental expenses, allowance"
1626,こっきょう,国境,n,national or state border
1627,コック,,n,"(1) cook (nl:), (2) tap, spigot, faucet, cock"
1628,こっせつ,骨折,n,bone fracture
1629,こっそり,,adv,"stealthily, secretly"
1630,こづつみ,小包,n,"parcel, package"
1631,コップ,,n,(a) glass (nl: Kop)
1632,こてん,古典,n,"old book, classics, classic"
1633,こと,事,n,"thing, matter, fact, circumstances"
1634,こと,琴,n,Koto (Japanese harp)
1635,~ごと,~毎,,
1636,（まるごと）,~ごと,,
1637,ことし,今年,"n-adv,n-t",this year
1638,ことづける,言付ける,v1,"to send word, to send a message"
1639,ことなる,異なる,v5r,"to differ, to vary, to disagree"
1640,ことば,言葉,n,"word(s), language, speech"
1641,ことばづかい,言葉遣い,n,"speech, expression, wording"
1642,こども,子供,n,"child, children"
1643,ことり,小鳥,n,small bird
1644,ことわざ,諺,n,"proverb, maxim"
1645,ことわる,断る,v5r,"to refuse, to decline, to dismiss"
1646,こな,粉,n,"flour, meal, powder"
1647,この,この,"adj-pn,int",this
1648,このあいだ,,n-adv,"the other day, recently, lately, during this period"
1649,こないだ,,"n-adv,n-t","the other day, lately, recently"
1650,このごろ,,,"these days, nowadays"
1651,このみ,好み,n,"liking, taste, choice"
1652,このむ,好む,v5m,"to like, to prefer"
1653,ごはん,御飯,n,"rice (cooked), meal"
1654,コピー,,n,"(1) a (photo)copy, (2) blurb on a book jacket"
1655,ごぶさた,御無沙汰,"n,vs",not writing or contacting for a while
1656,こぼす,,"v5s,vt",to spill
1657,こぼれる,,"v1,vi","to overflow, to spill"
1658,こまかい,細かい,adj,"(1) small, (2) fine, minute"
1659,こまる,困る,v5r,"to be worried, to be bothered"
1660,ごみ,塵,n,"dust, dirt"
1661,ごみ,塵芥,n,"trash, rubbish"
1662,~こむ,~込む,,
1663,ゴム,,n,"gum, rubber, eraser"
1664,こむぎ,小麦,n,wheat
1665,こめ,米,n,uncooked rice
1666,ごめん,御免,"int,n","your pardon, declining (something), dismissal, permission"
1667,ごめんください,,"exp,int",May I come in?
1668,ごめんなさい,,"exp,int","I beg your pardon, excuse me"
1669,こや,小屋,n,"hut, cabin, shed, (animal) pen"
1670,こゆび,小指,n,little finger
1671,こらえる,,v1,"to bear, to stand, to endure, to put up with"
1672,ごらく,娯楽,n,"pleasure, amusement"
1673,ごらん,御覧,"int,n","(hon) look, inspection, try"
1674,これ,,"int,n",this
1675,コレクション,,n,"(1) collection, (2) correction"
1676,これら,,uk,these
1677,ころ,頃,"n-adv,n,n-suf","time, about, toward, approximately (time)"
1678,ころがす,転がす,"v5s,vt",to roll
1679,ころがる,転がる,v5r,"to roll, to tumble"
1680,ころす,殺す,v5s,to kill
1681,ころぶ,転ぶ,v5b,"to fall down, to fall over"
1682,こわい,怖い,adj,"scary, frightening, eerie, dreadful"
1683,こわす,壊す,"v5s,vt","to break, to break down"
1684,こわれる,壊れる,"v1,vi","to be broken, to break"
1685,こん,紺,n,"navy blue, deep blue"
1686,こん~,今~,,
1687,こんかい,今回,"n-adv,n-t","now, this time, lately"
1688,コンクール,,n,contest (fr: concours)
1689,コンクリート,,n,concrete
1690,こんご,今後,"n-adv,n-t","from now on, hereafter"
1691,こんごう,混合,"n,vs","mixing, mixture"
1692,コンサート,,n,concert
1693,こんざつ,混雑,"n,vs","confusion, congestion"
1694,コンセント,,n,"(1) consent, (2) concentric"
1695,こんだて,献立,n,"menu, program, schedule"
1696,こんど,今度,"n-adv,n-t","now, this time, next time, another time"
1697,こんな,,"adj-na,adj-pn,adv,n","such, like this"
1698,こんなに,,n,"so, like this, in this way"
1699,こんなん,困難,"adj-na,n","difficulty, distress"
1700,こんにち,今日,n-t,"today, this day"
1701,こんにちは,,int,"hello, good day (daytime greeting, id)"
1702,こんばんは,,"exp,int",good evening
1703,コンピューター,,n,computer
1704,こんやく,婚約,"n,vs","engagement, betrothal"
1705,こんらん,混乱,"n,vs","disorder, chaos, confusion, mayhem"
1706,さ,差,"n,n-suf","difference, variation"
1707,さあ,,"conj,int","come (int), come now"
1708,サークル,,n,"circle, sports club (i.e. at a company)"
1709,サービス,,n,"(1) service, support system, (2) goods or services without charge"
1710,さい,際,"n-adv,n","on the occasion of, circumstances"
1711,さい~,再~,,
1712,さい~,最~,,
1713,~さい,~歳,,
1714,~さい,~祭,,
1715,ざいがく,在学,n,(enrolled) in school
1716,さいきん,最近,"adj-no,n-adv,n-t","latest, most recent, nowadays"
1717,さいご,最後,n,"last, end, conclusion"
1718,さいこう,最高,"adj-na,n","highest, supreme, the most"
1719,さいさん,再三,"adv,n","again and again, repeatedly"
1720,ざいさん,財産,n,"property, fortune, assets"
1721,さいじつ,祭日,n,"national holiday, festival day"
1722,さいしゅう,最終,n,"last, final, closing"
1723,さいしょ,最初,"adj-no,n-adv,n-t","beginning, outset, first, onset"
1724,さいそく,催促,"n,vs","request, demand, claim, urge (action), press for"
1725,さいちゅう,最中,"n-adv,n",in the middle of
1726,さいてい,最低,"adj-na,adv,n","least, lowest, worst"
1727,さいてん,採点,"n,vs","marking, grading, looking over"
1728,さいなん,災難,n,"calamity, misfortune"
1729,さいのう,才能,n,"talent, ability"
1730,さいばん,裁判,"n,vs","trial, judgement"
1731,さいふ,財布,n,"purse, wallet"
1732,さいほう,裁縫,n,sewing
1733,ざいもく,材木,n,"lumber, timber"
1734,ざいりょう,材料,n,"ingredients, material"
1735,サイレン,,n,siren
1736,さいわい,幸い,"adj-na,adv,n","happiness, blessedness"
1737,サイン,,n,"(1) autograph, (2) sign, (3) sine"
1738,さか,坂,n,"slope, hill"
1739,さかい,境,n,"border, boundary, mental state"
1740,さかさ,逆さ,n,"reverse, inversion, upside down"
1741,さかさま,逆様,"adj-na,adj-no,n","inversion, upside down"
1742,さがす,捜す,v5s,"to search, to seek, to look for"
1743,さがす,探す,v5s,"to search, to seek, to look for"
1744,さかな,魚,n,fish
1745,さかのぼる,遡る,v5r,"to go back, to go upstream, to make retroactive"
1746,さかば,酒場,n,"bar, bar-room"
1747,さからう,逆らう,v5u,"to go against, to oppose, to disobey, to defy"
1748,さかり,盛り,n,"helping, serving"
1749,さがる,下る,v5r,"to get down, to descend"
1750,さかん,盛ん,"adj-na,n","popularity, prosperous"
1751,さき,先,"adj-no,n","the future, priority, precedence, former, previous"
1752,さきおととい,,"n-adv,n-t",two days before yesterday
1753,さきほど,先程,"n-adv,n-t",some time ago
1754,さぎょう,作業,n,"work, operation, manufacturing, fatigue duty"
1755,さく,咲く,v5k,to bloom
1756,さく,裂く,v5k,"to tear, to split"
1757,さく,昨,pref,"last (year), yesterday"
1758,さくいん,索引,n,"index, indices"
1759,さくしゃ,作者,n,"author, authoress"
1760,さくじょ,削除,"n,vs","elimination, cancellation, deletion, erasure"
1761,さくせい,作成,"n,vs","frame, draw up, make, producing"
1762,さくせい,作製,"n,vs",manufacture
1763,さくひん,作品,n,"work, opus, performance, production"
1764,さくぶん,作文,n,"composition, writing"
1765,さくもつ,作物,n,"produce (e.g. agricultural), crops"
1766,さくら,桜,n,"cherry blossom, cherry tree"
1767,さぐる,探る,v5r,"to search, to look for, to sound out"
1768,さけ,酒,n,"alcohol, sake"
1769,さけぶ,叫ぶ,v5b,"to shout, to cry"
1770,さける,避ける,v1,"(1) to avoid (physical contact ), (2) to ward off, to avert"
1771,さげる,下げる,v1,"to hang, to lower, to move back"
1772,ささえる,支える,v1,"to be blocked, to choke, to be obstructed"
1773,ささやく,囁く,v5k,"to whisper, to murmur"
1774,ささる,刺さる,v5r,"to stick, to be stuck"
1775,さじ,匙,n,spoon
1776,さしあげる,差し上げる,v1,"(pol) to give, to hold up, to lift up, to offer"
1777,ざしき,座敷,n,tatami room
1778,さしつかえ,差し支え,n,"hindrance, impediment"
1779,さしひき,差し引き,n,"deduction, subtraction, balance, ebb and flow, rise and fall"
1780,さしみ,刺身,n,sliced raw fish
1781,さす,刺す,v5s,"to pierce, to stab, to prick, to thrust"
1782,さす,差す,v5s,"to raise (stretch out) hands, to raise umbrella"
1783,さす,指す,v5s,"to point, to put up umbrella, to play"
1784,さす,挿す,v5s,"to insert, to put in, to graft, to wear in belt"
1785,さす,注す,v5s,"to pour (drink), to serve (drinks)"
1786,さす,射す,v5s,"to shine, to strike"
1787,（傘を~）,さす,v5s,"to light (a fire), to apply moxa cautery"
1788,さすが,流石,"adj-na,adv,n","clever, adept, good, expectations, as one would expect"
1789,ざせき,座席,n,seat
1790,さそう,誘う,v5u,"(1) to invite, to ask, (2) to tempt, to lure, to induce"
1791,さつ,札,n,"(1) token, label, (2) ticket, (3) charm"
1792,~さつ,~冊,,counter for volumes
1793,さつえい,撮影,"n,vs",photographing
1794,ざつおん,雑音,n,"noise (jarring, grating)"
1795,さっか,作家,n,"author, writer, novelist, artist"
1796,さっき,,n,thirst for blood
1797,さっきょく,作曲,"n,vs","composition, setting (of music)"
1798,さっさと,,"adv,n",quickly
1799,ざっし,雑誌,n,"journal, magazine"
1800,さっそく,早速,adv,"at once, immediately, without delay, promptly"
1801,ざっと,,adv,"roughly, in round numbers"
1802,さっぱり,,"adj-na,adv,n,vs","feeling refreshed, feeling relieved, neat, trimmed"
1803,さて,,"conj,int (uk)","well, now, then"
1804,さとう,砂糖,n,sugar
1805,さばく,砂漠,n,desert
1806,さび,錆,n,rust (colour)
1807,さびしい,寂しい,adj,"lonely, lonesome, solitary, desolate"
1808,さびる,錆びる,"v1,vi","to rust, to become rusty"
1809,ざぶとん,座布団,n,cushion (Japanese)
1810,さべつ,差別,"n,vs","discrimination, distinction, differentiation"
1811,さほう,作法,n,"manners, etiquette, propriety"
1812,~さま,~様,,
1813,さまざま,様々,"adj-na,n","varied, various"
1814,さます,冷ます,"v5s,vt","to cool, to dampen, to let cool"
1815,さます,覚ます,v5s,to awaken
1816,さまたげる,妨げる,v1,"to disturb, to prevent"
1817,さむい,寒い,adj,cold (e.g. weather)
1818,さめる,冷める,v1,"to become cool, to wear off, to abate, to subside"
1819,さめる,覚める,v1,"to wake, to wake up"
1820,さゆう,左右,"n,vs","(1) left and right, (2) influence, control, domination"
1821,さようなら,,"conj,int",good-bye
1822,さら,皿,n,"plate, dish"
1823,さらいげつ,再来月,"n-adv,n-t",month after next
1824,さらいしゅう,再来週,"n-adv,n-t",week after next
1825,さらいねん,再来年,"n-adv,n-t",year after next
1826,サラダ,,n,salad
1827,さらに,更に,"adv,conj","furthermore, again, after all, more and more, moreover"
1828,サラリーマン,,n,"salary man, company employee"
1829,さる,去る,v5r,"to leave, to go away"
1830,さる,猿,n,monkey
1831,さわがしい,騒がしい,adj,noisy
1832,さわぎ,騒ぎ,"n,n-suf","uproar, disturbance"
1833,さわぐ,騒ぐ,v5g,"to make noise, to clamor, to be excited, to be alarmed"
1834,さわやか,,"adj-na,n","fresh, refreshing, invigorating"
1835,さわる,触る,v5r,"to touch, to feel"
1836,さん,三,num,three
1837,~さん,~山,,
1838,~さん,~産,,
1839,~さん,~様,,
1840,さんか,参加,"n,vs",participation
1841,さんかく,三角,n,"triangle, triangular"
1842,さんぎょう,産業,n,industry
1843,さんこう,参考,"n,vs","reference, consultation"
1844,さんすう,算数,n,arithmetic
1845,Uӣ[い,賛成,"n,vs","approval, agreement, support, favour"
1846,さんせい,酸性,n,acidity
1847,さんそ,酸素,n,oxygen
1848,サンダル,,n,sandal
1849,さんち,産地,n,producing area
1850,サンドイッチ,,n,sandwich
1851,ざんねん,残念,"adj-na,n","deplorable, bad luck, regret, disappointment"
1852,サンプル,,n,sample
1853,さんぽ,散歩,"n,vs","walk, stroll"
1854,さんりん,山林,n,"mountain forest, mountains and forest"
1855,し,四,num,four
1856,し,市,n-suf,city
1857,し,氏,n,"family name, lineage, birth"
1858,し,詩,n,"poem, verse of poetry"
1859,~し,~史,,
1860,~し,~紙,,
1861,~じ,~時,,
1862,~じ,~寺,,
1863,しあい,試合,n,"match, game, bout, contest"
1864,しあがる,仕上がる,"v5r,vi",to be finished
1865,しあさって,,"n-adv,n-t",two days after tomorrow
1866,しあわせ,幸せ,"adj-na,n","happiness, good fortune, luck, blessing"
1867,シーズン,,n,season (sporting)
1868,シーツ,,n,sheet
1869,じいん,寺院,n,temple
1870,（する）,しいんと,"adv,n","silent (as the grave), (deathly) quiet"
1871,ジーンズ,,n,jeans
1872,じえい,自衛,n,self-defense
1873,ジェットき,ジェット機,n,jet aeroplane
1874,しお,塩,n,salt
1875,しおからい,塩辛い,adj,salty (taste)
1876,しかい,司会,"n,vs",chairmanship
1877,しかく,四角,"adj-na,n",square
1878,しかくい,四角い,adj,square
1879,しかし,,conj,"however, but"
1880,しかた,仕方,n,"way, method, means"
1881,しかたがない,,"adj,exp","it can't be helped, it's inevitable"
1882,じかに,直に,adv,"immediately, readily, directly"
1883,しかも,,conj,"moreover, furthermore, nevertheless, and yet"
1884,しかる,叱る,v5r,to scold
1885,じかん,時間,"n-adv,n",time
1886,~じかん,~時間,,
1887,~じかんめ,~時間目,,
1888,じかんわり,時間割,n,"timetable, schedule"
1889,しき,式,"n,n-suf","equation, formula, ceremony"
1890,（日本式）,~しき,,
1891,しき,四季,n,four seasons
1892,じき,直,,"earnestly, immediately, exactly"
1893,じき,時期,"n-adv,n-t","time, season, period"
1894,しきち,敷地,n,site
1895,しきゅう,支給,n,"payment, allowance"
1896,しきゅう,至急,"adv,n","urgent, pressing"
1897,しきりに,,adv,"frequently, repeatedly, incessantly, eagerly"
1898,しく,敷く,v5k,"to spread out, to lay out"
1899,しげき,刺激,"n,vs","stimulus, impetus, incentive"
1900,しげる,茂る,v5r,"to grow thick, to luxuriate, to be luxurious"
1901,しけん,試験,"n,vs","examination, test, study"
1902,しげん,資源,n,resources
1903,じけん,事件,n,"event, affair, incident"
1904,じこ,事故,n,"accident, incident"
1905,じこく,時刻,"n-adv,n-t","instant, time, moment"
1906,しごと,仕事,"adj-no,n","work, occupation, employment"
1907,じさつ,自殺,"n,vs",suicide
1908,じさん,持参,"n,vs","bringing, taking, carrying"
1909,じじつ,事実,"n-adv,n","fact, truth, reality"
1910,じしゃく,磁石,n,magnet
1911,ししゃごにゅう,四捨五入,n,rounding up (fractions)
1912,しじゅう,始終,"adv,n","continuously, from beginning to end"
1913,じしゅう,自習,"n,vs",self-study
1914,ししゅつ,支出,n,"expenditure, expenses"
1915,じしょ,辞書,n,"dictionary, lexicon"
1916,じじょう,事情,n,"circumstances, consideration, conditions, situation, reasons"
1917,しじん,詩人,n,poet
1918,じしん,自身,n,"by oneself, personally"
1919,じしん,地震,n,earthquake
